"S No",Priority,"KPI List",H/L,LYD,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,"Current Target","Target 2023","Target 2024","Bronze Benchmark",Vision,Pillar
138,3,"(OWL) OPI NONA",H,35.18,41.30,,,,,,,,,,,,41.30,40.00,44.00,46.20,,50.9,TPM
139,4,"(KEG) OPI NONA",H,81.60,15.50,,,,,,,,,,,,15.50,,,,,0,"AM Packaging"
140,4,"(CAN) OPI NONA",H,49.50,59.20,,,,,,,,,,,,59.20,,,,,0,"AM Packaging"
141,4,"Extract Losses - Packaging",L,1.41,2.52,,,,,,,,,,,,2.52,,,,,0,"AM Packaging"
142,4,"FTR - Packaging",H,92.10,92.50,,,,,,,,,,,,92.50,,,,,0,"AM Packaging"
143,4,"OW Packaging Material Losses",L,5.19,9.40,,,,,,,,,,,,9.40,,,,,0,"AM Packaging"
144,4,"Returnable Packaging Material Losses",L,3.27,37.85,,,,,,,,,,,,37.85,,,,,0,"AM Packaging"
145,4,"Water Consumption - Packaging",L,0.87,0.88,,,,,,,,,,,,0.88,,,,,0,"AM Packaging"
146,4,"Thermal Energy Consumption - Packaging",L,27.32,25.66,,,,,,,,,,,,25.66,,,,,0,"AM Packaging"
147,2,"PM Conformance to Schedule - Brewhouse",H,,,,,,,,,,,,,,,92.00,,,,0,PM
148,2,"PM Conformance to Schedule - Canning",H,,,,,,,,,,,,,,,92.00,,,,0,PM
149,2,"Open PM Tags",L,,20.00,32.00,,,,,,,,,,,20.00,60.00,,,,0,PM
150,1,"Deployment Completion",H,,,,,,,,,,,,,,,80.00,,,,0,TPM
151,1,"Risk Assessment Score - Warehouse",L,,,,,,,,,,,,,,,,,,,0,WT
152,1,"Safety Tag Completion Rate",H,,,,,,,,,,,,,,,,,,,0,WT
153,1,"Vacancies - Warehouse",L,,,,,,,,,,,,,,,,,,,0,WT
154,2,"HeiQuest Compliance - Warehouse",H,53.95,53.95,53.95,,,,,,,,,,,53.95,,,,,0,WT
155,2,"HeiQuest Completion - Warehouse",H,55.00,55.00,55.00,,,,,,,,,,,55.00,,,,,0,WT
156,2,"People Competency - Permit Declaration",H,42.90,42.90,,,,,,,,,,,,42.90,71.40,100.00,100.00,,0,CV
157,1,"People Competency - Quality",H,,,54.00,,,,,,,,,,,,80.00,,,,0,PQ
158,4,"Heineken 0.0 TTS - Fresh",H,,,,,,,,,,,,,,,6.65,,,,,PQ
159,1,Vacancies,L,16.00,14.00,,,,,,,,,,,,14.00,3.00,,,,,PD
160,1,"People Competency - Utilities",H,,,,,,,,,,,,,,,,,,,0,ES
161,2,"Effluent Organic Load to Surface Water",L,,0.99,,147852369.00,,,,,,,,,,0.99,,,,,0,ES
162,2,"Open Tags - Utilities",L,,,,,,,,,,,,,,,,,,,0,ES
163,3,"HeiQuest Compliance - Utilities",H,100.00,100.00,100.00,999999.99,999999.99,,,,,,,,,100.00,,,,,0,ES
164,3,"HeiQuest Compliance - Maintenance",H,100.00,100.00,100.00,,,,,,,,,,,100.00,,,,,0,PM
165,3,"HeiQuest Compliance - PCD",H,99.02,99.02,99.02,,,,,,,,,,,99.02,,,,,0,PM
166,1,Vacancies,L,16.00,14.00,,,,,,,,,,,,14.00,3.00,,,,,SC
167,3,"HeiQuest Completion",H,94.74,94.74,94.75,,,,,,,,,,,91.80,100.00,,,,0,SC
168,3,"HeiQuest Compliance",H,93.33,93.02,93.02,,,,,,,,,,,91.10,95.00,,,,0,SC
169,1,"HOC Audit Score",H,86.02,82.90,93.70,,,,,,,,,,,82.90,88.50,,,,0,SC
170,1,"Supply Chain Cost - R&M",L,5.00,2.47,2.52,,,,,,,,,,,2.47,5.52,,,,0,SC
171,1,"Supply Chain Cost - Overtime Cost",L,0.91,0.97,,,,,,,,,,,,0.97,0.39,,,,0,SC
172,4,"Employee Engagement",H,71.00,71.00,,,,,,,,,,,,71.00,80.00,80.00,80.00,,90,SC
173,2,CFR,H,80.80,76.30,,,,,,,,,,,,76.30,85.00,95.00,98.50,,98.5,SC
174,4,"Volume Produced",H,88691.00,119852.00,,,,,,,,,,,,119852.00,89438.00,,,,0,SC
175,4,"Volume Brewed",H,90841.00,128214.00,,,,,,,,,,,,128214.00,89438.00,,,,0,SC
176,4,"Volume Packed - OWL",H,5167.00,10903.00,,,,,,,,,,,,10903.00,1258.00,,,,0,SC
177,4,"Volume Packed - RGL",H,11785.00,13719.00,,,,,,,,,,,,13719.00,8234.00,,,,0,SC
178,4,"Volume Packed - CAN",H,66837.00,84365.00,,,,,,,,,,,,84365.00,58265.00,,,,0,SC
